Code,Phase,Sprint,Epic,Epic (JA),Screen,Function,Task,Task (JA),P/Day,Assignee,Status,Deadline,Done At,PM Check,Remark,Remark (JA)
TSK-01-216,MVP,S1,Grid language,,,,Bilingual sheet columns: show only active UI language column (EN or JA),,1,aj,Not started,,,,GenericSheet displayColumns filtered by language.,
TSK-01-217,MVP,S1,Batch delete,,,,deleteSheetRowsBatchAction + Workspace deleteSheetRows + checkboxes and Delete selected,,1,aj,Done,,2026-05-04,,GenericSheet onDeleteRows; confirm dialog.,
TSK-01-219,MVP,S1,Import / i18n,,,,[2/12] Types: extend ImportRowStatus with merge and no_match; ImportValidationResult.noMatchCount; ImportValidationPreview.mergeIntoExistingByCode.,,0.5,aj,Done,2026-05-03,,,Supports preview and finalize wiring for JP supplement uploads.,
TSK-01-220,MVP,S1,Import / i18n,,,,[3/12] validateAndMapImportRows: optional mergeIntoExistingByCode; resolve business code field; merge rows join previewRows with status merge; unmatched codes → no_match.,,0.5,aj,Done,2026-05-03,,,Merge mode uses function_code / screen_code / task_code per tab; conflicts list stays empty for merge path.,
TSK-01-221,MVP,S1,Import / i18n,,,,[4/12] finalizeImportRows: FinalizeImportRowsOptions; merge branch loads existing row by code; spread import onto existing; force id + project_id; full sanitizeRowData; skip rewriteCodeIfClaimed.,,1,aj,Done,2026-05-03,,,Avoids TSK/FNC suffix rewrites and prevents wiping EN when only *_ja columns are mapped.,
TSK-01-222,MVP,S1,Import / i18n,,,,[5/12] ColumnMappingUI: checkbox Merge into existing rows (match by code) for function_list / screen_list / tasks; pass merge flag into validateAndMapImportRows and preview payload.,,0.5,aj,Done,2026-05-03,,,User turns on merge when uploading JP translation CSV after primary EN import.,
TSK-01-223,MVP,S1,Import / i18n,,,,[6/12] GenericSheet: state for importMergeIntoExistingByCode and importNoMatchCount; pass merge option to finalizeImportRows; reset on flow end.,,0.5,aj,Done,2026-05-03,,,Preview continue runs finalize with mergeIntoExistingByCode when enabled.,
TSK-01-224,MVP,S1,Import / i18n,,,,[7/12] ImportPreviewModal: row styles for merge and no_match; optional stats (merge row count; no matching code); merge-mode banner; localized labels via translate.,,0.5,aj,Done,2026-05-03,,,Users see which rows update existing records vs skipped codes.,
TSK-01-225,MVP,S1,Import / i18n,,,,[8/12] lib/data.ts: Japanese UI strings for merge checkbox; preview stats; Ready to import; merge banner text.,,0.5,aj,Done,2026-05-03,,,JA copy for batch import merge workflow.,
TSK-01-226,MVP,S1,Import / i18n,,,,[9/12] Import Auto-Suggest (Japanese): matchJapaneseImportHeaderToKey; NFKC normalizeImportHeader; IMPORT_HEADER_SYNONYMS for function_list / screen_list / tasks; exact labelJa match prefers *_ja keys.,,0.5,aj,Done,2026-05-03,,,Example: 画面名→screen_name_ja; コード→function_code; 大カテゴリ→main_category_ja.,
TSK-01-227,MVP,S1,Import / i18n,,,,[10/12] ColumnMappingUI: call matchJapaneseImportHeaderToKey in suggestMapping after key/label/underscore passes.,,0.5,aj,Done,2026-05-03,,,Auto-Suggest maps JP CSV headers to sheet fields including JA columns.,
TSK-01-228,MVP,S1,Import / i18n,,,,[11/12] User guidance: CSV is decoded as UTF-8 in ImportModal; Excel JP default CSV often Shift-JISsave as CSV UTF-8 or use xlsx to avoid mojibake.,,0.5,aj,Done,2026-05-03,,,Explains garbled Japanese when encoding mismatches; not an xlsx vs csv quality issue per se.,
TSK-01-229,MVP,S1,Import / i18n,,,,[12/12] Daily log: create tasks-import-2026-05-03.csv for Task sheet batch import documenting this session.,,0.5,aj,Done,2026-05-03,,,This file; leave task_code blank for auto TSK-01-NNN assignment.,
TSK-01-230,MVP,S2,UI,UI,,,"Add feature of adding, editing and deleting columns of each sheet.",列を追加、編集、削除する機能を追加,1,aj,In progress,2026-05-31,,,,
TSK-01-231,MVP,S2,UI,UI,,,implement schedule chart,工程表を実装する,1,aj,In progress,2026-05-31,,,,
TSK-01-234,MVP,S2,Import / i18n,,,,Document two-step import for JP then EN: first upload primary sheet (merge off); second upload with Merge into existing by code + map only supplement columns,,1,aj,Not started,,,,Applies to Tasks / Function list / Screen list; task_code must match between files.,
TSK-01-235,MVP,S2,Integrations,,,,Add POST webhook route (e.g. /api/webhooks/sheet-sync) with shared-secret header; validate body and update target project row/cell in Supabase,,1.5,aj,Not started,,,,For Google Apps Script UrlFetchApp from a bound Google Sheet.,
TSK-01-236,MVP,S2,Integrations,,,,"Define JSON payload contract (project_id, tab/field key, business code or row id, value) and map to sanitizeRowData update path",,1,aj,Not started,,,,,
TSK-01-237,MVP,S2,Integrations,,,,Provide sample Google Apps Script snippet (onEdit or menu) calling the webhook with Script Properties for URL + secret,,0.5,aj,Not started,,,,Sheet stays on Google Drive; local .xlsx uses a different path.,
TSK-01-238,MVP,S2,Import / QA,,,,Regression: CSV UTF-8 import  confirm Shift-JIS CSV saved as UTF-8 or use xlsx to avoid mojibake for Japanese headers,,1,aj,Not started,,,,Already noted in internal task log; keep as checklist item.,
TSK-01-239,MVP,S1,Import / UX,,,,Verify merge preview shows merge vs no_match counts when supplementing *_ja fields after English row creation,,0.5,aj,Not started,,,,,
TSK-01-232,MVP,S1,Import / Excel,,,,Add worksheet picker after uploading .xlsx  list workbook.SheetNames; parse only the selected sheet (EN tab vs JP tab) instead of always using SheetNames[0],,1,aj,Not started,,,,Part of bilingual template workflow; same mapping UI as today.,
TSK-01-233,MVP,S1,Import / Excel,,,,Optional: show sheet preview row count per tab before mapping so users confirm EN vs JP,,0.5,aj,Not started,,,,,
