Code,Phase,Sprint,Epic,Medium,Screen,Screen name,Function,Function name,Task,エピック,中項目,タスク,Status,P/Day,Deadline,Remark,Roadmap Part,Priority,Feature ID,Depends on,Implemented in product
TSK-RMP-023,MVP,15,Part G - Jira parity,W4 Search and filters,,,,,Saved filters and cross-project task search (JQL-lite MVP),パートG - Jira同等性,W4 検索,保存フィルターと横断タスク検索,Not started,8,,Jira gap G4. Acceptance: save filter; query status assignee sprint text; results link to row.,G,19,W4-01,TSK-RMP-005,No
TSK-RMP-024,MVP,16,Part G - Jira parity,W5 Agile pack,,,,,Backlog rank independent of sheet row order,パートG - Jira同等性,W5 アジャイル,バックログ順位（行順と独立）,Not started,3,,Jira gap G5. Acceptance: rank field; drag reorder in backlog view.,G,20,W5-01,,No
TSK-RMP-025,MVP,16,Part G - Jira parity,W5 Agile pack,,,,,Complete sprint flow with spillover handling,パートG - Jira同等性,W5 アジャイル,スプリント完了と持ち越し,Not started,5,,Depends TSK-RMP-004. Acceptance: close sprint; move incomplete tasks; report.,G,21,W5-02,TSK-RMP-004,No
TSK-RMP-026,MVP,16,Part G - Jira parity,W5 Agile pack,,,,,Kanban WIP limits and swimlanes,パートG - Jira同等性,W5 アジャイル,カンバン WIP 上限とスイムレーン,Not started,5,,Depends TSK-RMP-005. Acceptance: configure WIP per column; lanes by assignee or epic.,G,22,W5-03,TSK-RMP-005,No
TSK-RMP-027,MVP,16,Part G - Jira parity,W5 Agile pack,,,,,Velocity and cumulative flow reports,パートG - Jira同等性,W5 アジャイル,ベロシティと累積フロー,Not started,8,,Depends TSK-RMP-006. Acceptance: charts per sprint or date range; document metrics formulas.,G,23,W5-04,TSK-RMP-006,No
TSK-RMP-028,MVP,17,Part G - Jira parity,W6 Integrations,,,,,Outbound webhooks on task events,パートG - Jira同等性,W6 連携,タスクイベントの送信 Webhook,Not started,5,,Jira gap G8. Acceptance: team configures URL and secret; events status assign create.,G,24,W6-01,,No
TSK-RMP-029,MVP,17,Part G - Jira parity,W6 Integrations,,,,,GitHub PR linking to task code,パートG - Jira同等性,W6 連携,GitHub PR とタスクコード連携,Not started,8,,Depends TSK-RMP-028. Acceptance: link PR in UI or via webhook; show PR list on task detail.,G,25,W6-02,TSK-RMP-028,No
TSK-RMP-030,MVP,17,Part G - Jira parity,W6 Integrations,,,,,Slack notifications for assignments and mentions,パートG - Jira同等性,W6 連携,Slack 通知（担当・メンション）,Not started,5,,Depends TSK-RMP-021. Acceptance: channel mapping per team; opt-in.,G,26,W6-03,TSK-RMP-021,No
TSK-RMP-031,actual_performance,18,Part G - Jira parity,W7 Enterprise,,,,,SAML SSO for team workspaces,パートG - Jira同等性,W7 エンタープライズ,チーム向け SAML SSO,Not started,15,,Jira gap G3/G10. Acceptance: IdP metadata; login flow; map to profiles.,G,27,W7-01,,No
TSK-RMP-032,actual_performance,18,Part G - Jira parity,W7 Enterprise,,,,,Admin config audit log,パートG - Jira同等性,W7 エンタープライズ,管理設定の監査ログ,Not started,5,,Acceptance: log workflow permission scheme changes; viewer for team admin.,G,28,W7-02,,No
TSK-RMP-033,actual_performance,18,Part G - Jira parity,W7 Enterprise,,,,,Scale program load tests and pagination audit,パートG - Jira同等性,W7 エンタープライズ,負荷試験とページネーション監査,Not started,8,,Jira gap G10. Acceptance: document targets; fix hot paths in GenericSheet and search.,G,29,W7-03,,No
TSK-RMP-034,actual_performance,18,Part G - Jira parity,W7 Enterprise,,,,,Jira migration import tool (CSV mapping MVP),パートG - Jira同等性,W7 エンタープライズ,Jira からの移行インポート MVP,Not started,10,,Acceptance: map Jira export columns to task_rows; doc limitations.,G,30,W7-04,,No
TSK-RMP-035,MVP,19,Part G - Jira parity,G1 Issue links,,,,,Issue link types blocks relates duplicate (MVP),パートG - Jira同等性,G1 課題リンク,blocks / relates / duplicate リンク MVP,Not started,8,,Jira gap G1. Depends W1. Acceptance: link table; UI pick linked task; show on detail.,G,31,G1-01,TSK-RMP-016,No
TSK-RMP-036,MVP,19,Part G - Jira parity,G6 Portfolio,,,,,Cross-project program roadmap view,パートG - Jira同等性,G6 ポートフォリオ,複数プロジェクトのロードマップ,Not started,10,,Jira gap G6. Acceptance: program entity; timeline of epics across projects.,G,32,G6-01,TSK-RMP-008,No
TSK-RMP-037,MVP,20,Part G - Jira parity,G8 Automation rules,,,,,When/if automation rule builder MVP,パートG - Jira同等性,G8 自動化,条件付きルールビルダー MVP,Not started,10,,Jira gap G8. Depends W6. Acceptance: one trigger one action; audit executions.,G,33,G8-01,TSK-RMP-028,No
TSK-RMP-038,MVP,20,Part G - Jira parity,G9 Worklogs,,,,,Worklogs per task and remaining estimate roll-up,パートG - Jira同等性,G9 工数ログ,タスク別作業ログと残見積もり集計,Not started,8,,Jira gap G9. Acceptance: log time; show spent vs person_day; PM report.,G,34,G9-01,TSK-RMP-016,No
